"V1","location_name","date","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
54129,"New Mexico","2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
54130,"New Mexico","2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
54131,"New Mexico","2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
54132,"New Mexico","2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
54133,"New Mexico","2020-02-08",0,0,0,0,0,0,0,0,0,0,0,0,"observed",-3.10592739448222,,,,,,
54134,"New Mexico","2020-02-09",0,0,0,0,0,0,0,0,0,0,0,0,"observed",-2.28190550082752,,,,,,
54135,"New Mexico","2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0,"observed",-1.27372948099672,,,,,,
54136,"New Mexico","2020-02-11",0,0,0,0,0,0,0,0,0,0,0,0,"observed",-0.174016528962419,,,,,,
54137,"New Mexico","2020-02-12",0,0,0,0,0,0,0,0,0,0,0,0,"observed",0.928257512990921,,,,,,
54138,"New Mexico","2020-02-13",0,0,0,0,0,0,0,0,0,0,0,0,"observed",1.95055537310019,,,,,,
54139,"New Mexico","2020-02-14",0,0,0,0,0,0,0,0,0,0,0,0,"observed",2.82190375605639,,,,,,
54140,"New Mexico","2020-02-15",0,0,0,0,0,0,0,0,0,0,0,0,"observed",3.49142986823765,,,,,,
54141,"New Mexico","2020-02-16",0,0,0,0,0,0,0,0,0,0,0,0,"observed",3.92984910584591,,,,,,
54142,"New Mexico","2020-02-17",0,0,0,0,0,0,0,0,0,0,0,0,"observed",4.15055559129498,,,,,,
54143,"New Mexico","2020-02-18",0,0,0,0,0,0,0,0,0,0,0,0,"observed",4.20797105336579,,,,,,
54144,"New Mexico","2020-02-19",0,0,0,0,0,0,0,0,0,0,0,0,"observed",4.15235024657761,,,,,,
54145,"New Mexico","2020-02-20",0,0,0,0,0,0,0,0,0,0,0,0,"observed",4.04719293794954,,,,,,
54146,"New Mexico","2020-02-21",0,0,0,0,0,0,0,0,0,0,0,0,"observed",3.97453337680957,,,,,,
54147,"New Mexico","2020-02-22",0,0,0,0,0,0,0,0,0,0,0,0,"observed",4.02367735049969,,,,,,
54148,"New Mexico","2020-02-23",0,0,0,0,0,0,0,0,0,0,0,0,"observed",4.2622116498715,,,,,,
54149,"New Mexico","2020-02-24",0,0,0,0,0,0,0,0,0,0,0,0,"observed",4.67747373877467,,,,,,
54150,"New Mexico","2020-02-25",0,0,0,0,0,0,0,0,0,0,0,0,"observed",5.17789836221345,,,,,,
54151,"New Mexico","2020-02-26",0,0,0,0,0,0,0,0,0,0,0,0,"observed",5.63166770599749,,,,,,
54152,"New Mexico","2020-02-27",0,0,0,0,0,0,0,0,0,0,0,0,"observed",5.90562750007879,,,,,,
54153,"New Mexico","2020-02-28",0,0,0,0,0,0,0,0,0,0,0,0,"observed",5.91623889718499,,,,,,
54154,"New Mexico","2020-02-29",0,0,0,0,0,0,0,0,0,0,0,0,"observed",5.65891552267502,,,,,,
54155,"New Mexico","2020-03-01",0,0,0,0,0,0,0,0,0,0,0,0,"observed",5.21224259302852,,,,,,
54156,"New Mexico","2020-03-02",0,0,0,0,0,0,0,0,0,0,0,0,"observed",4.71520255186519,,,,,,
