"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
4897,"Arizona","2020-02-04",525,0,0,0,0,0,0,0.0063414744025137,0.0063414744025137,0.0063414744025137,0.0251549176046898,0.0251549176046898,0.0251549176046898,,,"observed",0.404050744720274,0,,,
4898,"Arizona","2020-02-05",525,0,0,0,0,0,0,0.0063137516827348,0.0063137516827348,0.0063137516827348,0.0314686692874246,0.0314686692874246,0.0314686692874246,,,"observed",0.453806365158645,0,,,
4899,"Arizona","2020-02-06",525,0,0,0,0,0,0,0.00624919427652239,0.00624919427652239,0.00624919427652239,0.037717863563947,0.037717863563947,0.037717863563947,,,"observed",0.503026733218842,0,,,
4900,"Arizona","2020-02-07",525,0,0,0,0,0,0,0.00614941915873191,0.00614941915873191,0.00614941915873191,0.0438672827226789,0.0438672827226789,0.0438672827226789,,,"observed",0.551970035861684,0,,,
4901,"Arizona","2020-02-08",525,0,0,0,0,0,0,0.0060172320642134,0.0060172320642134,0.0060172320642134,0.0498845147868923,0.0498845147868923,0.0498845147868923,"observed",-2.729083,"observed",0.600802420551353,0,,,
4902,"Arizona","2020-02-09",525,0,0,0,0,0,0,0.0058569782323541,0.0058569782323541,0.0058569782323541,0.0557414930192464,0.0557414930192464,0.0557414930192464,"observed",-2.067671,"observed",0.649633907791481,0,,,
4903,"Arizona","2020-02-10",525,0,0,0,0,0,0,0.0056743562296511,0.0056743562296511,0.0056743562296511,0.0614158492488975,0.0614158492488975,0.0614158492488975,"observed",-1.300386,"observed",0.698561991451094,0,,,
4904,"Arizona","2020-02-11",525,0,0,0,0,0,0,0.0054753847468309,0.0054753847468309,0.0054753847468309,0.0668912339957284,0.0668912339957284,0.0668912339957284,"observed",-0.5080898,"observed",0.747710550888873,0,,,
4905,"Arizona","2020-02-12",525,0,0,0,0,0,0,0.0052658793249747,0.0052658793249747,0.0052658793249747,0.0721571133207031,0.0721571133207031,0.0721571133207031,"observed",0.2305955,"observed",0.797251056151688,0,,,
4906,"Arizona","2020-02-13",525,0,0,0,0,0,0,0.00505124742044981,0.00505124742044981,0.00505124742044981,0.0772083607411529,0.0772083607411529,0.0772083607411529,"observed",0.8514118,"observed",0.847389921252255,0,,,
4907,"Arizona","2020-02-14",525,0,0,0,0,0,0,0.0048363836528208,0.0048363836528208,0.0048363836528208,0.0820447443939737,0.0820447443939737,0.0820447443939737,"observed",1.314651,"observed",0.898319306397821,0,,,
4908,"Arizona","2020-02-15",525,0,0,0,0,0,0,0.0046255839617244,0.0046255839617244,0.0046255839617244,0.0866703283556981,0.0866703283556981,0.0866703283556981,"observed",1.612258,"observed",0.950153204038478,0,,,
4909,"Arizona","2020-02-16",525,0,0,0,0,0,0,0.0044225475458026,0.0044225475458026,0.0044225475458026,0.0910928759015007,0.0910928759015007,0.0910928759015007,"observed",1.762508,"observed",1.00288478361481,0,,,
4910,"Arizona","2020-02-17",525,0,0,0,0,0,0,0.00423011530281911,0.00423011530281911,0.00423011530281911,0.0953229912043198,0.0953229912043198,0.0953229912043198,"observed",1.80757,"observed",1.05639185165538,0,,,
4911,"Arizona","2020-02-18",525,0,0,0,0,0,0,0.00405049037311959,0.00405049037311959,0.00405049037311959,0.0993734815774394,0.0993734815774394,0.0993734815774394,"observed",1.79718,"observed",1.11048773529828,0,,,
4912,"Arizona","2020-02-19",525,0,0,0,0,0,0,0.0038866119870436,0.0038866119870436,0.0038866119870436,0.103260093564483,0.103260093564483,0.103260093564483,"observed",1.759811,"observed",1.16499362781312,0,,,
