County;Population
Autauga, Alabama;55869,00
Baldwin, Alabama;223234,00
Barbour, Alabama;24686,00
Bibb, Alabama;22394,00
Blount, Alabama;57826,00
Bullock, Alabama;10101,00
Butler, Alabama;19448,00
Calhoun, Alabama;113605,00
Chambers, Alabama;33254,00
Cherokee, Alabama;26196,00
Chilton, Alabama;44428,00
Choctaw, Alabama;12589,00
Clarke, Alabama;23622,00
Clay, Alabama;13235,00
Cleburne, Alabama;14910,00
Coffee, Alabama;52342,00
Colbert, Alabama;55241,00
Conecuh, Alabama;12067,00
Coosa, Alabama;10663,00
Covington, Alabama;37049,00
Crenshaw, Alabama;13772,00
Cullman, Alabama;83768,00
Dale, Alabama;49172,00
Dallas, Alabama;37196,00
DeKalb, Alabama;71513,00
Elmore, Alabama;81209,00
Escambia, Alabama;36633,00
Etowah, Alabama;102268,00
Fayette, Alabama;16302,00
Franklin, Alabama;31362,00
Geneva, Alabama;26271,00
Greene, Alabama;8111,00
Hale, Alabama;14651,00
Henry, Alabama;17205,00
Houston, Alabama;105882,00
Jackson, Alabama;51626,00
Jefferson, Alabama;658573,00
Lamar, Alabama;13805,00
Lauderdale, Alabama;92729,00
Lawrence, Alabama;32924,00
Lee, Alabama;164542,00
Limestone, Alabama;98915,00
Lowndes, Alabama;9726,00
Macon, Alabama;18068,00
Madison, Alabama;372909,00
Marengo, Alabama;18863,00
Marion, Alabama;29709,00
Marshall, Alabama;96774,00
Mobile, Alabama;413210,00
Monroe, Alabama;20733,00
Montgomery, Alabama;226486,00
Morgan, Alabama;119679,00
Perry, Alabama;8923,00
Pickens, Alabama;19930,00
Pike, Alabama;33114,00
Randolph, Alabama;22722,00
Russell, Alabama;57961,00
St Clair, Alabama;89512,00
Shelby, Alabama;217702,00
Sumter, Alabama;12427,00
Talladega, Alabama;79978,00
Tallapoosa, Alabama;40367,00
Tuscaloosa, Alabama;209355,00
Walker, Alabama;63521,00
Washington, Alabama;16326,00
Wilcox, Alabama;10373,00
Winston, Alabama;23629,00
Aleutians East Borough, Alaska;3337,00
Aleutians West Census Area, Alaska;5634,00
Anchorage Municipality, Alaska;288000,00
Bethel Census Area, Alaska;18386,00
Bristol Bay Borough, Alaska;836,00
Denali Borough, Alaska;2097,00
Dillingham Census Area, Alaska;4916,00
Fairbanks North Star Borough, Alaska;96849,00
Haines Borough, Alaska;2530,00
Hoonah-Angoon Census Area, Alaska;2148,00
Juneau City and Borough, Alaska;31974,00
Kenai Peninsula Borough, Alaska;58708,00
Ketchikan Gateway Borough, Alaska;13901,00
Kodiak Island Borough, Alaska;12998,00
Kusilvak Census Area, Alaska;8314,00
Lake and Peninsula Borough, Alaska;1592,00
Matanuska-Susitna Borough, Alaska;108317,00
Nome Census Area, Alaska;10004,00
North Slope Borough, Alaska;9832,00
Northwest Arctic Borough, Alaska;7621,00
Petersburg Borough, Alaska;3266,00
Prince of Wales-Hyder Census Area, Alaska;6203,00
Sitka City and Borough, Alaska;8493,00
Skagway Municipality, Alaska;1183,00
Southeast Fairbanks Census Area, Alaska;6893,00
Valdez-Cordova Census Area, Alaska;9202,00
Wrangell City and Borough, Alaska;2502,00
Yakutat City and Borough, Alaska;579,00
Yukon-Koyukuk Census Area, Alaska;5230,00
Apache, Arizona;71887,00
Cochise, Arizona;125922,00
Coconino, Arizona;143476,00
Gila, Arizona;54018,00
Graham, Arizona;38837,00
Greenlee, Arizona;9498,00
La Paz, Arizona;21108,00
Maricopa, Arizona;4485414,00
Mohave, Arizona;212181,00
Navajo, Arizona;110924,00
Pima, Arizona;1047279,00
Pinal, Arizona;462789,00
Santa Cruz, Arizona;46498,00
Yavapai, Arizona;235099,00
Yuma, Arizona;213787,00
Arkansas, Arkansas;17486,00
Ashley, Arkansas;19657,00
Baxter, Arkansas;41932,00
Benton, Arkansas;279141,00
Boone, Arkansas;37432,00
Bradley, Arkansas;10763,00
Calhoun, Arkansas;5189,00
Carroll, Arkansas;28380,00
Chicot, Arkansas;10118,00
Clark, Arkansas;22320,00
Clay, Arkansas;14551,00
Cleburne, Arkansas;24919,00
Cleveland, Arkansas;7956,00
Columbia, Arkansas;23457,00
Conway, Arkansas;20846,00
Craighead, Arkansas;110332,00
Crawford, Arkansas;63257,00
Crittenden, Arkansas;47955,00
Cross, Arkansas;16419,00
Dallas, Arkansas;7009,00
Desha, Arkansas;11361,00
Drew, Arkansas;18219,00
Faulkner, Arkansas;126007,00
Franklin, Arkansas;17715,00
Fulton, Arkansas;12477,00
Garland, Arkansas;99386,00
Grant, Arkansas;18265,00
Greene, Arkansas;45325,00
Hempstead, Arkansas;21532,00
Hot Spring, Arkansas;33771,00
Howard, Arkansas;13202,00
Independence, Arkansas;37825,00
Izard, Arkansas;13629,00
Jackson, Arkansas;16719,00
Jefferson, Arkansas;66824,00
Johnson, Arkansas;26578,00
Lafayette, Arkansas;6624,00
Lawrence, Arkansas;16406,00
Lee, Arkansas;8857,00
Lincoln, Arkansas;13024,00
Little River, Arkansas;12259,00
Logan, Arkansas;21466,00
Lonoke, Arkansas;73309,00
Madison, Arkansas;16576,00
Marion, Arkansas;16694,00
Miller, Arkansas;43257,00
Mississippi, Arkansas;40651,00
Monroe, Arkansas;6701,00
Montgomery, Arkansas;8986,00
Nevada, Arkansas;8252,00
Newton, Arkansas;7753,00
Ouachita, Arkansas;23382,00
Perry, Arkansas;10455,00
Phillips, Arkansas;17782,00
Pike, Arkansas;10718,00
Poinsett, Arkansas;23528,00
Polk, Arkansas;19964,00
Pope, Arkansas;64072,00
Prairie, Arkansas;8062,00
Pulaski, Arkansas;391911,00
Randolph, Arkansas;17958,00
St Francis, Arkansas;24994,00
Saline, Arkansas;122437,00
Scott, Arkansas;10281,00
Searcy, Arkansas;7881,00
Sebastian, Arkansas;127827,00
Sevier, Arkansas;17007,00
Sharp, Arkansas;17442,00
Stone, Arkansas;12506,00
Union, Arkansas;38682,00
Van Buren, Arkansas;16545,00
Washington, Arkansas;239187,00
White, Arkansas;78753,00
Woodruff, Arkansas;6320,00
Yell, Arkansas;21341,00
Alameda, California;1671329,00
Alpine, California;1129,00
Amador, California;39752,00
Butte, California;219186,00
Calaveras, California;45905,00
Colusa, California;21547,00
Contra Costa, California;1153526,00
Del Norte, California;27812,00
El Dorado, California;192843,00
Fresno, California;999101,00
Glenn, California;28393,00
Humboldt, California;135558,00
Imperial, California;181215,00
Inyo, California;18039,00
Kern, California;900202,00
Kings, California;152940,00
Lake, California;64386,00
Lassen, California;30573,00
Los Angeles, California;10039107,00
Madera, California;157327,00
Marin, California;258826,00
Mariposa, California;17203,00
Mendocino, California;86749,00
Merced, California;277680,00
Modoc, California;8841,00
Mono, California;14444,00
Monterey, California;434061,00
Napa, California;137744,00
Nevada, California;99755,00
Orange, California;3175692,00
Placer, California;398329,00
Plumas, California;18807,00
Riverside, California;2470546,00
Sacramento, California;1552058,00
San Benito, California;62808,00
San Bernardino, California;2180085,00
San Diego, California;3338330,00
San Francisco, California;881549,00
San Joaquin, California;762148,00
San Luis Obispo, California;283111,00
San Mateo, California;766573,00
Santa Barbara, California;446499,00
Santa Clara, California;1927852,00
Santa Cruz, California;273213,00
Shasta, California;180080,00
Sierra, California;3005,00
Siskiyou, California;43539,00
Solano, California;447643,00
Sonoma, California;494336,00
Stanislaus, California;550660,00
Sutter, California;96971,00
Tehama, California;65084,00
Trinity, California;12285,00
Tulare, California;466195,00
Tuolumne, California;54478,00
Ventura, California;846006,00
Yolo, California;220500,00
Yuba, California;78668,00
Adams, Colorado;517421,00
Alamosa, Colorado;16233,00
Arapahoe, Colorado;656590,00
Archuleta, Colorado;14029,00
Baca, Colorado;3581,00
Bent, Colorado;5577,00
Boulder, Colorado;326196,00
Broomfield, Colorado;70465,00
Chaffee, Colorado;20356,00
Cheyenne, Colorado;1831,00
Clear Creek, Colorado;9700,00
Conejos, Colorado;8205,00
Costilla, Colorado;3887,00
Crowley, Colorado;6061,00
Custer, Colorado;5068,00
Delta, Colorado;31162,00
Denver, Colorado;727211,00
Dolores, Colorado;2055,00
Douglas, Colorado;351154,00
Eagle, Colorado;55127,00
Elbert, Colorado;26729,00
El Paso, Colorado;720403,00
Fremont, Colorado;47839,00
Garfield, Colorado;60061,00
Gilpin, Colorado;6243,00
Grand, Colorado;15734,00
Gunnison, Colorado;17462,00
Hinsdale, Colorado;820,00
Huerfano, Colorado;6897,00
Jackson, Colorado;1392,00
Jefferson, Colorado;582881,00
Kiowa, Colorado;1406,00
Kit Carson, Colorado;7097,00
Lake, Colorado;8127,00
La Plata, Colorado;56221,00
Larimer, Colorado;356899,00
Las Animas, Colorado;14506,00
Lincoln, Colorado;5701,00
Logan, Colorado;22409,00
Mesa, Colorado;154210,00
Mineral, Colorado;769,00
Moffat, Colorado;13283,00
Montezuma, Colorado;26183,00
Montrose, Colorado;42758,00
Morgan, Colorado;29068,00
Otero, Colorado;18278,00
Ouray, Colorado;4952,00
Park, Colorado;18845,00
Phillips, Colorado;4265,00
Pitkin, Colorado;17767,00
Prowers, Colorado;12172,00
Pueblo, Colorado;168424,00
Rio Blanco, Colorado;6324,00
Rio Grande, Colorado;11267,00
Routt, Colorado;25638,00
Saguache, Colorado;6824,00
San Juan, Colorado;728,00
San Miguel, Colorado;8179,00
Sedgwick, Colorado;2248,00
Summit, Colorado;31011,00
Teller, Colorado;25388,00
Washington, Colorado;4908,00
Weld, Colorado;324492,00
Yuma, Colorado;10019,00
Fairfield, Connecticut;943332,00
Hartford, Connecticut;891720,00
Litchfield, Connecticut;180333,00
Middlesex, Connecticut;162436,00
New Haven, Connecticut;854757,00
New London, Connecticut;265206,00
Tolland, Connecticut;150721,00
Windham, Connecticut;116782,00
Kent, Delaware;180786,00
New Castle, Delaware;558753,00
Sussex, Delaware;234225,00
District of Columbia, District of Columbia;705749,00
Alachua, Florida;269043,00
Baker, Florida;29210,00
Bay, Florida;174705,00
Bradford, Florida;28201,00
Brevard, Florida;601942,00
Broward, Florida;1952778,00
Calhoun, Florida;14105,00
Charlotte, Florida;188910,00
Citrus, Florida;149657,00
Clay, Florida;219252,00
Collier, Florida;384902,00
Columbia, Florida;71686,00
DeSoto, Florida;38001,00
Dixie, Florida;16826,00
Duval, Florida;957755,00
Escambia, Florida;318316,00
Flagler, Florida;115081,00
Franklin, Florida;12125,00
Gadsden, Florida;45660,00
Gilchrist, Florida;18582,00
Glades, Florida;13811,00
Gulf, Florida;13639,00
Hamilton, Florida;14428,00
Hardee, Florida;26937,00
Hendry, Florida;42022,00
Hernando, Florida;193920,00
Highlands, Florida;106221,00
Hillsborough, Florida;1471968,00
Holmes, Florida;19617,00
Indian River, Florida;159923,00
Jackson, Florida;46414,00
Jefferson, Florida;14246,00
Lafayette, Florida;8422,00
Lake, Florida;367118,00
Lee, Florida;770577,00
Leon, Florida;293582,00
Levy, Florida;41503,00
Liberty, Florida;8354,00
Madison, Florida;18493,00
Manatee, Florida;403253,00
Marion, Florida;365579,00
Martin, Florida;161000,00
Miami-Dade, Florida;2716940,00
Monroe, Florida;74228,00
Nassau, Florida;88625,00
Okaloosa, Florida;210738,00
Okeechobee, Florida;42168,00
Orange, Florida;1393452,00
Osceola, Florida;375751,00
Palm Beach, Florida;1496770,00
Pasco, Florida;553947,00
Pinellas, Florida;974996,00
Polk, Florida;724777,00
Putnam, Florida;74521,00
St Johns, Florida;264672,00
St Lucie, Florida;328297,00
Santa Rosa, Florida;184313,00
Sarasota, Florida;433742,00
Seminole, Florida;471826,00
Sumter, Florida;132420,00
Suwannee, Florida;44417,00
Taylor, Florida;21569,00
Union, Florida;15237,00
Volusia, Florida;553284,00
Wakulla, Florida;33739,00
Walton, Florida;74071,00
Washington, Florida;25473,00
Appling, Georgia;18386,00
Atkinson, Georgia;8165,00
Bacon, Georgia;11164,00
Baker, Georgia;3038,00
Baldwin, Georgia;44890,00
Banks, Georgia;19234,00
Barrow, Georgia;83240,00
Bartow, Georgia;107738,00
Ben Hill, Georgia;16700,00
Berrien, Georgia;19397,00
Bibb, Georgia;153159,00
Bleckley, Georgia;12873,00
Brantley, Georgia;19109,00
Brooks, Georgia;15457,00
Bryan, Georgia;39627,00
Bulloch, Georgia;79608,00
Burke, Georgia;22383,00
Butts, Georgia;24936,00
Calhoun, Georgia;6189,00
Camden, Georgia;54666,00
Candler, Georgia;10803,00
Carroll, Georgia;119992,00
Catoosa, Georgia;67580,00
Charlton, Georgia;13392,00
Chatham, Georgia;289430,00
Chattahoochee, Georgia;10907,00
Chattooga, Georgia;24789,00
Cherokee, Georgia;258773,00
Clarke, Georgia;128331,00
Clay, Georgia;2834,00
Clayton, Georgia;292256,00
Clinch, Georgia;6618,00
Cobb, Georgia;760141,00
Coffee, Georgia;43273,00
Colquitt, Georgia;45600,00
Columbia, Georgia;156714,00
Cook, Georgia;17270,00
Coweta, Georgia;148509,00
Crawford, Georgia;12404,00
Crisp, Georgia;22372,00
Dade, Georgia;16116,00
Dawson, Georgia;26108,00
Decatur, Georgia;26404,00
DeKalb, Georgia;759297,00
Dodge, Georgia;20605,00
Dooly, Georgia;13390,00
Dougherty, Georgia;87956,00
Douglas, Georgia;146343,00
Early, Georgia;10190,00
Echols, Georgia;4006,00
Effingham, Georgia;64296,00
Elbert, Georgia;19194,00
Emanuel, Georgia;22646,00
Evans, Georgia;10654,00
Fannin, Georgia;26188,00
Fayette, Georgia;114421,00
Floyd, Georgia;98498,00
Forsyth, Georgia;244252,00
Franklin, Georgia;23349,00
Fulton, Georgia;1063937,00
Gilmer, Georgia;31369,00
Glascock, Georgia;2971,00
Glynn, Georgia;85292,00
Gordon, Georgia;57963,00
Grady, Georgia;24633,00
Greene, Georgia;18324,00
Gwinnett, Georgia;936250,00
Habersham, Georgia;45328,00
Hall, Georgia;204441,00
Hancock, Georgia;8457,00
Haralson, Georgia;29792,00
Harris, Georgia;35236,00
Hart, Georgia;26205,00
Heard, Georgia;11923,00
Henry, Georgia;234561,00
Houston, Georgia;157863,00
Irwin, Georgia;9416,00
Jackson, Georgia;72977,00
Jasper, Georgia;14219,00
Jeff Davis, Georgia;15115,00
Jefferson, Georgia;15362,00
Jenkins, Georgia;8676,00
Johnson, Georgia;9643,00
Jones, Georgia;28735,00
Lamar, Georgia;19077,00
Lanier, Georgia;10423,00
Laurens, Georgia;47546,00
Lee, Georgia;29992,00
Liberty, Georgia;61435,00
Lincoln, Georgia;7921,00
Long, Georgia;19559,00
Lowndes, Georgia;117406,00
Lumpkin, Georgia;33610,00
McDuffie, Georgia;21312,00
McIntosh, Georgia;14378,00
Macon, Georgia;12947,00
Madison, Georgia;29880,00
Marion, Georgia;8359,00
Meriwether, Georgia;21167,00
Miller, Georgia;5718,00
Mitchell, Georgia;21863,00
Monroe, Georgia;27578,00
Montgomery, Georgia;9172,00
Morgan, Georgia;19276,00
Murray, Georgia;40096,00
Muscogee, Georgia;195769,00
Newton, Georgia;111744,00
Oconee, Georgia;40280,00
Oglethorpe, Georgia;15259,00
Paulding, Georgia;168667,00
Peach, Georgia;27546,00
Pickens, Georgia;32591,00
Pierce, Georgia;19465,00
Pike, Georgia;18962,00
Polk, Georgia;42613,00
Pulaski, Georgia;11137,00
Putnam, Georgia;22119,00
Quitman, Georgia;2299,00
Rabun, Georgia;17137,00
Randolph, Georgia;6778,00
Richmond, Georgia;202518,00
Rockdale, Georgia;90896,00
Schley, Georgia;5257,00
Screven, Georgia;13966,00
Seminole, Georgia;8090,00
Spalding, Georgia;66703,00
Stephens, Georgia;25925,00
Stewart, Georgia;6621,00
Sumter, Georgia;29524,00
Talbot, Georgia;6195,00
Taliaferro, Georgia;1537,00
Tattnall, Georgia;25286,00
Taylor, Georgia;8020,00
Telfair, Georgia;15860,00
Terrell, Georgia;8531,00
Thomas, Georgia;44451,00
Tift, Georgia;40644,00
Toombs, Georgia;26830,00
Towns, Georgia;12037,00
Treutlen, Georgia;6901,00
Troup, Georgia;69922,00
Turner, Georgia;7985,00
Twiggs, Georgia;8120,00
Union, Georgia;24511,00
Upson, Georgia;26320,00
Walker, Georgia;69761,00
Walton, Georgia;94593,00
Ware, Georgia;35734,00
Warren, Georgia;5254,00
Washington, Georgia;20374,00
Wayne, Georgia;29927,00
Webster, Georgia;2607,00
