county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
Autauga AL,55869,2.59,0.16,0.87,0.789,0.1,58786,0.138,91.8
Baldwin AL,223234,2.61,0.21,0.886,0.781,0.132,55962,0.098,114.6
Barbour AL,24686,2.49,0.197,0.761,0.604,0.135,34186,0.309,31.0
Bibb AL,22394,2.99,0.167,0.763,0.661,0.106,45340,0.218,36.8
Blount AL,57826,2.77,0.187,0.787,0.685,0.141,48695,0.132,88.9
Bullock AL,10101,2.75,0.169,0.729,0.589,0.119,32152,0.425,17.5
Coconino AZ,143476,2.68,0.13,0.89,0.774,0.131,57616,0.159,7.2
Cochise AZ,125922,2.38,0.231,0.868,0.782,0.112,48649,0.151,21.3
Apache AZ,71887,3.44,0.158,0.55,0.38,0.212,32963,0.373,6.4
Winston AL,23629,2.50,0.219,0.757,0.622,0.147,38504,0.186,39.9
Wilcox AL,10373,2.77,0.203,0.624,0.492,0.113,27237,0.334,13.1
Washington AL,16326,2.75,0.197,0.76,0.583,0.138,40794,0.176,16.3
Bergen NJ,932202,2.72,0.177,0.921,0.886,0.087,95837,0.068,3884.5
Atlantic NJ,263670,2.63,0.186,0.888,0.807,0.096,59989,0.128,494.1
Strafford NH,130633,2.46,0.154,0.922,0.845,0.072,70650,0.097,333.7
Rockingham NH,309769,2.52,0.186,0.942,0.9,0.056,90429,0.053,425.0
Belknap NH,61303,2.41,0.228,0.913,0.844,0.083,68368,0.069,150.1
Washoe NV,471519,2.50,0.168,0.917,0.834,0.125,61155,0.104,66.9
Hudson NJ,672391,2.59,0.122,0.897,0.834,0.129,66289,0.143,13731.4
Essex NJ,798975,2.73,0.139,0.874,0.785,0.116,59302,0.149,6211.5
Cumberland NJ,149527,2.77,0.156,0.827,0.744,0.107,52593,0.152,324.4
Cape May NJ,92039,2.28,0.273,0.89,0.827,0.08,63690,0.103,386.9
Camden NJ,506471,2.67,0.161,0.888,0.821,0.081,67118,0.129,2321.5
Burlington NJ,445349,2.63,0.174,0.922,0.873,0.054,84992,0.062,561.9
Ocean NJ,607186,2.60,0.228,0.878,0.807,0.077,68021,0.097,917.0
Morris NJ,491845,2.68,0.176,0.937,0.903,0.052,111316,0.047,1069.8
Monmouth NJ,618795,2.64,0.182,0.921,0.874,0.067,95699,0.067,1344.7
Middlesex NJ,825062,2.80,0.155,0.914,0.849,0.077,85954,0.082,2621.6
Mercer NJ,367430,2.71,0.156,0.9,0.816,0.092,79990,0.109,1632.2
Hunterdon NJ,124371,2.56,0.194,0.935,0.893,0.041,112535,0.044,300.0
Warren NJ,105267,2.52,0.187,0.903,0.841,0.07,78145,0.067,304.5
Union NJ,556341,2.89,0.147,0.887,0.817,0.112,77095,0.078,5216.1
Sussex NJ,140488,2.63,0.18,0.933,0.881,0.057,90520,0.052,287.6
Somerset NJ,328934,2.78,0.162,0.94,0.907,0.054,111772,0.049,1071.7
Salem NJ,62385,2.59,0.19,0.856,0.775,0.071,64309,0.112,199.1
Passaic NJ,501826,3.03,0.15,0.854,0.784,0.135,66476,0.136,2715.3
Sandoval NM,146748,2.78,0.185,0.886,0.816,0.104,59420,0.126,35.5
McKinley NM,71367,3.55,0.129,0.592,0.43,0.16,31674,0.323,13.1
Curry NM,48954,2.65,0.128,0.873,0.777,0.109,46182,0.172,34.4
Cibola NM,26675,2.84,0.168,0.765,0.553,0.116,37368,0.286,6.0
Chaves NM,64615,2.74,0.161,0.817,0.697,0.116,43197,0.189,10.8
Bernalillo NM,679121,2.52,0.169,0.884,0.777,0.107,51643,0.165,570.8
Cattaraugus NY,76117,2.39,0.197,0.81,0.693,0.065,47240,0.171,61.4
Broome NY,190488,2.34,0.194,0.87,0.8,0.052,50859,0.173,284.2
Albany NY,305506,2.30,0.174,0.889,0.824,0.042,64535,0.113,581.9
Valencia NM,76688,2.71,0.182,0.811,0.67,0.123,45084,0.173,71.8
Santa Fe NM,150358,2.36,0.253,0.863,0.787,0.137,59192,0.122,75.5
San Juan NM,123958,2.91,0.156,0.785,0.63,0.134,50582,0.231,23.6
Herkimer NY,61319,2.49,0.212,0.845,0.76,0.049,51862,0.135,45.7
Greene NY,47188,2.59,0.227,0.829,0.716,0.056,53617,0.13,76.1
Erie NY,918702,2.30,0.184,0.862,0.786,0.044,55673,0.137,881.4
Dutchess NY,294218,2.57,0.181,0.911,0.855,0.051,78028,0.092,373.9
Chenango NY,47207,2.31,0.209,0.851,0.768,0.049,50595,0.151,56.5
Chautauqua NY,126903,2.35,0.207,0.839,0.737,0.055,45332,0.183,127.2
Onondaga NY,460528,2.40,0.175,0.875,0.79,0.047,59225,0.137,600.0
Oneida NY,228671,2.42,0.192,0.86,0.782,0.05,53844,0.148,193.7
Niagara NY,209281,2.35,0.195,0.841,0.761,0.044,54085,0.13,414.4
New York County (Manhattan Borough)NY,1628706,2.07,0.17,0.901,0.833,0.061,82459,0.156,69467.5
Nassau NY,1356924,3.00,0.182,0.926,0.889,0.046,111240,0.058,4704.8
Monroe NY,741770,2.38,0.179,0.883,0.817,0.043,57479,0.144,1132.6
Steuben NY,95379,2.37,0.201,0.842,0.742,0.052,51789,0.128,71.2
Rockland NY,325789,3.17,0.159,0.875,0.806,0.053,91108,0.139,1795.9
Rensselaer NY,158714,2.38,0.175,0.901,0.837,0.042,65851,0.111,244.4
Orleans NY,40352,2.33,0.184,0.853,0.779,0.053,51843,0.126,109.6
Orange NY,384940,2.90,0.143,0.889,0.768,0.054,76716,0.115,459.3
Ontario NY,109777,2.39,0.206,0.895,0.828,0.043,63359,0.085,167.6
Washington NY,61204,2.44,0.201,0.862,0.765,0.054,54114,0.114,76.1
Warren NY,63944,2.31,0.229,0.882,0.817,0.049,59813,0.108,75.8
Ulster NY,177573,2.41,0.204,0.897,0.842,0.06,63348,0.143,162.3
Tompkins NY,102180,2.27,0.151,0.927,0.841,0.048,58743,0.168,214.0
