county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
Autauga AL,55869,2.59,0.16,0.87,0.789,0.1,58786,0.138,91.8
Baldwin AL,223234,2.61,0.21,0.886,0.781,0.132,55962,0.098,114.6
Barbour AL,24686,2.49,0.197,0.761,0.604,0.135,34186,0.309,31.0
Bibb AL,22394,2.99,0.167,0.763,0.661,0.106,45340,0.218,36.8
Blount AL,57826,2.77,0.187,0.787,0.685,0.141,48695,0.132,88.9
Bullock AL,10101,2.75,0.169,0.729,0.589,0.119,32152,0.425,17.5
Coconino AZ,143476,2.68,0.13,0.89,0.774,0.131,57616,0.159,7.2
Cochise AZ,125922,2.38,0.231,0.868,0.782,0.112,48649,0.151,21.3
Apache AZ,71887,3.44,0.158,0.55,0.38,0.212,32963,0.373,6.4
Winston AL,23629,2.50,0.219,0.757,0.622,0.147,38504,0.186,39.9
Wilcox AL,10373,2.77,0.203,0.624,0.492,0.113,27237,0.334,13.1
Washington AL,16326,2.75,0.197,0.76,0.583,0.138,40794,0.176,16.3
Navajo AZ,110924,3.08,0.188,0.748,0.607,0.144,40054,0.285,10.8
Mohave AZ,212181,2.37,0.311,0.86,0.782,0.128,43266,0.168,15.0
Maricopa AZ,4485414,2.76,0.155,0.915,0.841,0.126,61606,0.123,414.9
La Paz AZ,21108,2.30,0.398,0.765,0.606,0.211,33333,0.237,4.6
Graham AZ,38837,3.12,0.14,0.868,0.719,0.121,51352,0.202,8.1
Gila AZ,54018,2.42,0.294,0.805,0.615,0.145,42092,0.204,11.3
Benton AR,279141,2.72,0.136,0.916,0.648,0.099,64141,0.086,261.2
Yuma AZ,213787,2.79,0.193,0.836,0.763,0.137,44058,0.195,35.5
Yavapai AZ,235099,2.29,0.325,0.897,0.801,0.151,50180,0.132,26.0
Santa Cruz AZ,46498,2.99,0.185,0.813,0.692,0.174,40467,0.244,38.3
Pinal AZ,462789,2.86,0.209,0.889,0.805,0.122,55550,0.129,70.0
Pima AZ,1047279,2.47,0.203,0.91,0.831,0.123,51037,0.162,106.7
Lincoln AR,13024,2.34,0.159,0.765,0.579,0.099,45166,0.275,25.2
Johnson AR,26578,2.60,0.169,0.789,0.65,0.13,37170,0.222,38.7
Garland AR,99386,2.41,0.243,0.866,0.76,0.104,43146,0.204,141.7
Faulkner AR,126007,2.67,0.129,0.89,0.765,0.08,51930,0.154,174.8
Crittenden AR,47955,2.58,0.145,0.798,0.715,0.084,39002,0.192,83.5
Craighead AR,110332,2.50,0.14,0.892,0.789,0.094,45868,0.179,136.4
Sebastian AR,127827,2.48,0.164,0.843,0.728,0.132,43240,0.156,236.4
Saline AR,122437,2.68,0.182,0.898,0.808,0.07,62152,0.097,148.0
Pulaski AR,391911,2.46,0.161,0.863,0.754,0.083,50093,0.167,503.8
Pope AR,64072,2.66,0.162,0.866,0.713,0.106,41914,0.16,76.0
Miller AR,43257,2.53,0.172,0.838,0.723,0.086,41903,0.219,69.5
Lonoke AR,73309,2.66,0.138,0.872,0.775,0.076,57509,0.119,88.7
Contra Costa CA,1153526,2.86,0.163,0.944,0.902,0.059,93712,0.078,1,465.2
Alameda CA,1671329,2.81,0.143,0.936,0.875,0.05,92574,0.09,2,043.6
Yell AR,21341,2.83,0.181,0.766,0.667,0.12,42361,0.163,23.9
Washington AR,239187,2.57,0.121,0.91,0.769,0.124,49629,0.152,215.6
Union AR,38682,2.47,0.184,0.717,0.601,0.091,44000,0.182,40.1
Sevier AR,17007,2.92,0.149,0.819,0.708,0.17,46667,0.201,30.2
Los Angeles CA,10039107,3.00,0.141,0.904,0.821,0.102,64251,0.142,2,419.6
Kings CA,152940,3.16,0.105,0.879,0.772,0.085,53865,0.188,110.1
Kern CA,900202,3.18,0.112,0.854,0.768,0.09,52479,0.205,103.3
Imperial CA,181215,3.87,0.133,0.847,0.739,0.082,45834,0.214,41.8
Fresno CA,999101,3.16,0.126,0.877,0.779,0.088,51261,0.213,156.2
El Dorado CA,192843,2.67,0.219,0.931,0.857,0.057,80582,0.081,106.0
Orange CA,3175692,3.02,0.153,0.944,0.893,0.081,85398,0.105,3,807.7
Napa CA,137744,2.78,0.197,0.926,0.876,0.08,84753,0.088,182.4
Monterey CA,434061,3.30,0.14,0.876,0.808,0.119,66676,0.133,126.5
Merced CA,277680,3.31,0.114,0.892,0.797,0.09,50129,0.212,132.2
Marin CA,258826,2.40,0.23,0.942,0.905,0.048,110217,0.066,485.1
Madera CA,157327,3.28,0.143,0.873,0.768,0.107,52884,0.202,70.6
San Francisco CA,881549,2.36,0.161,0.919,0.86,0.048,104552,0.101,17,179.1
San Diego CA,3338330,2.87,0.145,0.939,0.888,0.092,74855,0.115,735.8
San Bernardino CA,2180085,3.30,0.119,0.912,0.817,0.093,60164,0.149,101.5
Sacramento CA,1552058,2.77,0.145,0.932,0.856,0.061,63902,0.143,1,470.8
Riverside CA,2470546,3.27,0.148,0.915,0.847,0.091,63948,0.127,303.8
Placer CA,398329,2.67,0.199,0.941,0.884,0.046,84357,0.071,247.6
Solano CA,447643,2.87,0.163,0.93,0.887,0.058,77609,0.079,503.0
Santa Cruz CA,273213,2.73,0.173,0.916,0.864,0.073,78041,0.122,589.4
Santa Clara CA,1927852,2.97,0.139,0.953,0.907,0.051,116178,0.073,1,381.0
San Mateo CA,766573,2.89,0.166,0.946,0.897,0.049,113776,0.068,1,602.2
San Luis Obispo CA,283111,2.52,0.209,0.925,0.862,0.074,70699,0.127,81.7
San Joaquin CA,762148,3.16,0.131,0.887,0.799,0.078,61145,0.143,492.6
Butler AL,19448,2.94,0.208,0.701,0.621,0.119,39109,0.245,27.0
Calhoun AL,113605,2.49,0.181,0.847,0.73,0.111,45197,0.195,195.7
Chilton AL,44428,2.60,0.171,0.78,0.618,0.163,45182,0.173,63.0
Clarke AL,23622,2.57,0.205,0.653,0.532,0.126,36127,0.228,20.9
